Category,Carrer Description,Carrer Route,Course Description,course Route,# of Reviews,Comment,Author,Time w/o response
/categorias/desarrollo/,Big Data y Data Science,/datos/,Curso Práctico de Python: Creación de un CRUD,/cursos/python-practico/,723,https://www.platzi.com/comentario/731676/,/@ndres_Meza,15 horas
/categorias/desarrollo/,Desarrollo de Aplicaciones Android,/desarrollo-android/,Curso Básico de Kotlin,/cursos/kotlin/,118,https://www.platzi.com/comentario/648904/,/@Isa01,2 meses
/categorias/desarrollo/,Ciencia,/ciencia/,Curso de Fundamentos de Matemáticas,/cursos/fundamentos-matematicas/,370,https://www.platzi.com/comentario/732637/,/@fernando-ortiz639,6 horas
/categorias/desarrollo/,Inteligencia Artificial,/ai/,Curso de Pensamiento Lógico,/cursos/pensamiento-logico/,326,https://www.platzi.com/comentario/503970/,/@mariocuencacanales,7 meses
/categorias/desarrollo/,Bases de Datos,/base-de-datos/,Fundamentos de Bases de Datos,/cursos/bd/,445,https://www.platzi.com/comentario/732767/,/@fransuacontreras,4 horas
/categorias/negocios/,Ventas y Mercadeo,/ventas-mercadeo/,Curso de Marca Personal,/cursos/marca-personal/,5270,https://www.platzi.com/comentario/730057/,/@tonyllo,2 días
/categorias/negocios/,Transformación Digital,/transformacion-digital/,Curso de Business Model Canvas,/cursos/canvas/,392,https://www.platzi.com/comentario/731492/,/@hoganeduardosanchezavila,17 horas
/categorias/negocios/,Transformación Digital,/transformacion-digital/,Curso de Liderazgo para Equipos de Trabajo,/cursos/liderazgo-equipos/,267,https://www.platzi.com/comentario/731271/,/@Henry_Coarite,19 horas
/categorias/negocios/,Transformación Digital,/transformacion-digital/,Curso de Transformación Digital para Empresas,/cursos/transforma-digital/,397,https://www.platzi.com/comentario/728241/,/@gapabf,3 días
/categorias/desarrollo/,Desarrollo de Aplicaciones Android,/desarrollo-android/,Curso Básico de Kotlin,/cursos/kotlin/,118,https://www.platzi.com/comentario/648904/,/@Isa01,2 meses
/categorias/desarrollo/,Desarrollo de Aplicaciones Android,/desarrollo-android/,Curso Básico de Kotlin,/cursos/kotlin/,118,https://www.platzi.com/comentario/637311/,/@jessicadurdanethsolisgalindo,2 meses
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Estrategias para Aprender en Línea Efectivamente,/cursos/aprender/,836,https://www.platzi.com/comentario/681993/,/@oliverurquidi,un mes
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Estrategias para Aprender en Línea Efectivamente,/cursos/aprender/,836,https://www.platzi.com/comentario/688626/,/@adela-oliveros,un mes
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Estrategias para Aprender en Línea Efectivamente,/cursos/aprender/,836,https://www.platzi.com/comentario/703147/,/@alexis-davila-mundo,20 días
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Estrategias para Aprender en Línea Efectivamente,/cursos/aprender/,836,https://www.platzi.com/comentario/639275/,/@joel123quezada,2 meses
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Cómo prepararte profesionalmente para el futuro,/cursos/futuro-profesional/,169,https://www.platzi.com/comentario/716385/,/@alejandro-sin,11 días
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Cómo prepararte profesionalmente para el futuro,/cursos/futuro-profesional/,169,https://www.platzi.com/comentario/715370/,/@alejandro-sin,12 días
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Cómo prepararte profesionalmente para el futuro,/cursos/futuro-profesional/,169,https://www.platzi.com/comentario/715289/,/@alejandro-sin,12 días
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Cómo prepararte profesionalmente para el futuro,/cursos/futuro-profesional/,169,https://www.platzi.com/comentario/707658/,/@schimangen,17 días
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Cómo prepararte profesionalmente para el futuro,/cursos/futuro-profesional/,169,https://www.platzi.com/comentario/686513/,/@Rsanchez17,un mes
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Cómo prepararte profesionalmente para el futuro,/cursos/futuro-profesional/,169,https://www.platzi.com/comentario/648867/,/@Nanglesc,2 meses
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/comentario/732541/,/@rdgz_sergio,8 horas
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/comentario/722828/,/@luciaqueme,7 días
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/comentario/721589/,/@nsaaib,8 días
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/comentario/716589/,/@mateopadron,11 días
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/comentario/662335/,/@LuisCarlosDesign,2 meses
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/comentario/548708/,/@alejo_lopez,5 meses
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/comentario/466419/,/@karinataboelle,8 meses
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/comentario/363190/,/@galainc21,un año
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Finanzas Personales,/cursos/finanzas/,1045,https://www.platzi.com/discusiones/1190-finanzas/30991-esperando-10/,/@ineclectico,2 años
/categorias/crecimiento-profesional/,Crecimiento Profesional,/habilidades-blandas/,Curso de Creación de Portafolio y CV,/cursos/portafolios/,318,https://www.platzi.com/comentario/709601/,/@josegarcia81,16 días
